claimID,document_citation_count,document_influential_citation_count,author_paper_counts,author_citation_counts,author_h_indices,publish_date,majority,weighted
8,0.000,0.000,0.200,1.000,0.000,0.400,0.300,-0.034
8,0.000,0.000,0.200,1.000,0.000,0.600,0.300,-0.027
8,0.000,0.000,0.200,1.000,0.000,0.800,0.300,-0.020
8,0.000,0.000,0.200,1.000,0.000,1.000,0.300,-0.013
8,0.000,0.000,0.200,1.000,0.200,0.000,0.300,-0.036
8,0.000,0.000,0.200,1.000,0.200,0.200,0.300,-0.041
8,0.000,0.000,0.200,1.000,0.200,0.400,0.300,-0.035
8,0.000,0.000,0.200,1.000,0.200,0.600,0.300,-0.029
8,0.000,0.000,0.200,1.000,0.200,0.800,0.300,-0.023
8,0.000,0.000,0.200,1.000,0.200,1.000,0.300,-0.016
8,0.000,0.000,0.200,1.000,0.400,0.000,0.300,-0.033
8,0.000,0.000,0.200,1.000,0.400,0.200,0.300,-0.041
8,0.000,0.000,0.200,1.000,0.400,0.400,0.300,-0.035
8,0.000,0.000,0.200,1.000,0.400,0.600,0.300,-0.030
8,0.000,0.000,0.200,1.000,0.400,0.800,0.300,-0.025
8,0.000,0.000,0.200,1.000,0.400,1.000,0.300,-0.019
8,0.000,0.000,0.200,1.000,0.600,0.000,0.300,-0.031
8,0.000,0.000,0.200,1.000,0.600,0.200,0.300,-0.041
8,0.000,0.000,0.200,1.000,0.600,0.400,0.300,-0.036
8,0.000,0.000,0.200,1.000,0.600,0.600,0.300,-0.031
8,0.000,0.000,0.200,1.000,0.600,0.800,0.300,-0.026
8,0.000,0.000,0.200,1.000,0.600,1.000,0.300,-0.021
8,0.000,0.000,0.200,1.000,0.800,0.000,0.300,-0.029
8,0.000,0.000,0.200,1.000,0.800,0.200,0.300,-0.040
8,0.000,0.000,0.200,1.000,0.800,0.400,0.300,-0.036
8,0.000,0.000,0.200,1.000,0.800,0.600,0.300,-0.032
8,0.000,0.000,0.200,1.000,0.800,0.800,0.300,-0.027
8,0.000,0.000,0.200,1.000,0.800,1.000,0.300,-0.023
8,0.000,0.000,0.200,1.000,1.000,0.000,0.300,-0.027
8,0.000,0.000,0.200,1.000,1.000,0.200,0.300,-0.040
8,0.000,0.000,0.200,1.000,1.000,0.400,0.300,-0.036
8,0.000,0.000,0.200,1.000,1.000,0.600,0.300,-0.032
8,0.000,0.000,0.200,1.000,1.000,0.800,0.300,-0.028
8,0.000,0.000,0.200,1.000,1.000,1.000,0.300,-0.024
8,0.000,0.000,0.400,0.000,0.000,0.000,0.300,0.000
8,0.000,0.000,0.400,0.000,0.000,0.200,0.300,-0.011
8,0.000,0.000,0.400,0.000,0.000,0.400,0.300,0.009
8,0.000,0.000,0.400,0.000,0.000,0.600,0.300,0.019
8,0.000,0.000,0.400,0.000,0.000,0.800,0.300,0.024
8,0.000,0.000,0.400,0.000,0.000,1.000,0.300,0.028
8,0.000,0.000,0.400,0.000,0.200,0.000,0.300,-0.004
8,0.000,0.000,0.400,0.000,0.200,0.200,0.300,-0.020
8,0.000,0.000,0.400,0.000,0.200,0.400,0.300,-0.005
8,0.000,0.000,0.400,0.000,0.200,0.600,0.300,0.008
8,0.000,0.000,0.400,0.000,0.200,0.800,0.300,0.015
8,0.000,0.000,0.400,0.000,0.200,1.000,0.300,0.020
8,0.000,0.000,0.400,0.000,0.400,0.000,0.300,-0.006
8,0.000,0.000,0.400,0.000,0.400,0.200,0.300,-0.025
8,0.000,0.000,0.400,0.000,0.400,0.400,0.300,-0.014
8,0.000,0.000,0.400,0.000,0.400,0.600,0.300,-0.002
8,0.000,0.000,0.400,0.000,0.400,0.800,0.300,0.007
8,0.000,0.000,0.400,0.000,0.400,1.000,0.300,0.013
8,0.000,0.000,0.400,0.000,0.600,0.000,0.300,-0.008
8,0.000,0.000,0.400,0.000,0.600,0.200,0.300,-0.028
8,0.000,0.000,0.400,0.000,0.600,0.400,0.300,-0.019
8,0.000,0.000,0.400,0.000,0.600,0.600,0.300,-0.010
8,0.000,0.000,0.400,0.000,0.600,0.800,0.300,-0.001
8,0.000,0.000,0.400,0.000,0.600,1.000,0.300,0.007
8,0.000,0.000,0.400,0.000,0.800,0.000,0.300,-0.009
8,0.000,0.000,0.400,0.000,0.800,0.200,0.300,-0.030
8,0.000,0.000,0.400,0.000,0.800,0.400,0.300,-0.022
8,0.000,0.000,0.400,0.000,0.800,0.600,0.300,-0.015
8,0.000,0.000,0.400,0.000,0.800,0.800,0.300,-0.007
8,0.000,0.000,0.400,0.000,0.800,1.000,0.300,0.000
8,0.000,0.000,0.400,0.000,1.000,0.000,0.300,-0.009
8,0.000,0.000,0.400,0.000,1.000,0.200,0.300,-0.031
8,0.000,0.000,0.400,0.000,1.000,0.400,0.300,-0.025
8,0.000,0.000,0.400,0.000,1.000,0.600,0.300,-0.018
8,0.000,0.000,0.400,0.000,1.000,0.800,0.300,-0.012
8,0.000,0.000,0.400,0.000,1.000,1.000,0.300,-0.005
8,0.000,0.000,0.400,0.200,0.000,0.000,0.300,-0.016
8,0.000,0.000,0.400,0.200,0.000,0.200,0.300,-0.025
8,0.000,0.000,0.400,0.200,0.000,0.400,0.300,-0.010
8,0.000,0.000,0.400,0.200,0.000,0.600,0.300,0.004
8,0.000,0.000,0.400,0.200,0.000,0.800,0.300,0.012
8,0.000,0.000,0.400,0.200,0.000,1.000,0.300,0.018
8,0.000,0.000,0.400,0.200,0.200,0.000,0.300,-0.015
8,0.000,0.000,0.400,0.200,0.200,0.200,0.300,-0.029
8,0.000,0.000,0.400,0.200,0.200,0.400,0.300,-0.017
8,0.000,0.000,0.400,0.200,0.200,0.600,0.300,-0.006
8,0.000,0.000,0.400,0.200,0.200,0.800,0.300,0.004
8,0.000,0.000,0.400,0.200,0.200,1.000,0.300,0.011
8,0.000,0.000,0.400,0.200,0.400,0.000,0.300,-0.015
8,0.000,0.000,0.400,0.200,0.400,0.200,0.300,-0.031
8,0.000,0.000,0.400,0.200,0.400,0.400,0.300,-0.022
8,0.000,0.000,0.400,0.200,0.400,0.600,0.300,-0.013
8,0.000,0.000,0.400,0.200,0.400,0.800,0.300,-0.004
8,0.000,0.000,0.400,0.200,0.400,1.000,0.300,0.004
8,0.000,0.000,0.400,0.200,0.600,0.000,0.300,-0.014
8,0.000,0.000,0.400,0.200,0.600,0.200,0.300,-0.032
8,0.000,0.000,0.400,0.200,0.600,0.400,0.300,-0.025
8,0.000,0.000,0.400,0.200,0.600,0.600,0.300,-0.017
8,0.000,0.000,0.400,0.200,0.600,0.800,0.300,-0.010
8,0.000,0.000,0.400,0.200,0.600,1.000,0.300,-0.002
8,0.000,0.000,0.400,0.200,0.800,0.000,0.300,-0.014
8,0.000,0.000,0.400,0.200,0.800,0.200,0.300,-0.033
8,0.000,0.000,0.400,0.200,0.800,0.400,0.300,-0.027
8,0.000,0.000,0.400,0.200,0.800,0.600,0.300,-0.020
8,0.000,0.000,0.400,0.200,0.800,0.800,0.300,-0.014
8,0.000,0.000,0.400,0.200,0.800,1.000,0.300,-0.007
8,0.000,0.000,0.400,0.200,1.000,0.000,0.300,-0.014
8,0.000,0.000,0.400,0.200,1.000,0.200,0.300,-0.034
8,0.000,0.000,0.400,0.200,1.000,0.400,0.300,-0.028
8,0.000,0.000,0.400,0.200,1.000,0.600,0.300,-0.023
8,0.000,0.000,0.400,0.200,1.000,0.800,0.300,-0.017
8,0.000,0.000,0.400,0.200,1.000,1.000,0.300,-0.011
8,0.000,0.000,0.400,0.400,0.000,0.000,0.300,-0.023
8,0.000,0.000,0.400,0.400,0.000,0.200,0.300,-0.032
8,0.000,0.000,0.400,0.400,0.000,0.400,0.300,-0.021
8,0.000,0.000,0.400,0.400,0.000,0.600,0.300,-0.010
8,0.000,0.000,0.400,0.400,0.000,0.800,0.300,0.001
8,0.000,0.000,0.400,0.400,0.000,1.000,0.300,0.008
8,0.000,0.000,0.400,0.400,0.200,0.000,0.300,-0.021
8,0.000,0.000,0.400,0.400,0.200,0.200,0.300,-0.033
8,0.000,0.000,0.400,0.400,0.200,0.400,0.300,-0.024
8,0.000,0.000,0.400,0.400,0.200,0.600,0.300,-0.016
8,0.000,0.000,0.400,0.400,0.200,0.800,0.300,-0.007
8,0.000,0.000,0.400,0.400,0.200,1.000,0.300,0.002
8,0.000,0.000,0.400,0.400,0.400,0.000,0.300,-0.020
8,0.000,0.000,0.400,0.400,0.400,0.200,0.300,-0.034
8,0.000,0.000,0.400,0.400,0.400,0.400,0.300,-0.027
8,0.000,0.000,0.400,0.400,0.400,0.600,0.300,-0.019
8,0.000,0.000,0.400,0.400,0.400,0.800,0.300,-0.012
8,0.000,0.000,0.400,0.400,0.400,1.000,0.300,-0.004
8,0.000,0.000,0.400,0.400,0.600,0.000,0.300,-0.019
8,0.000,0.000,0.400,0.400,0.600,0.200,0.300,-0.035
8,0.000,0.000,0.400,0.400,0.600,0.400,0.300,-0.029
8,0.000,0.000,0.400,0.400,0.600,0.600,0.300,-0.022
8,0.000,0.000,0.400,0.400,0.600,0.800,0.300,-0.016
8,0.000,0.000,0.400,0.400,0.600,1.000,0.300,-0.010
8,0.000,0.000,0.400,0.400,0.800,0.000,0.300,-0.018
8,0.000,0.000,0.400,0.400,0.800,0.200,0.300,-0.035
8,0.000,0.000,0.400,0.400,0.800,0.400,0.300,-0.030
8,0.000,0.000,0.400,0.400,0.800,0.600,0.300,-0.024
8,0.000,0.000,0.400,0.400,0.800,0.800,0.300,-0.019
8,0.000,0.000,0.400,0.400,0.800,1.000,0.300,-0.013
8,0.000,0.000,0.400,0.400,1.000,0.000,0.300,-0.018
8,0.000,0.000,0.400,0.400,1.000,0.200,0.300,-0.036
8,0.000,0.000,0.400,0.400,1.000,0.400,0.300,-0.031
8,0.000,0.000,0.400,0.400,1.000,0.600,0.300,-0.026
8,0.000,0.000,0.400,0.400,1.000,0.800,0.300,-0.021
8,0.000,0.000,0.400,0.400,1.000,1.000,0.300,-0.016
8,0.000,0.000,0.400,0.600,0.000,0.000,0.300,-0.028
8,0.000,0.000,0.400,0.600,0.000,0.200,0.300,-0.036
8,0.000,0.000,0.400,0.600,0.000,0.400,0.300,-0.027
8,0.000,0.000,0.400,0.600,0.000,0.600,0.300,-0.018
8,0.000,0.000,0.400,0.600,0.000,0.800,0.300,-0.010
8,0.000,0.000,0.400,0.600,0.000,1.000,0.300,-0.001
8,0.000,0.000,0.400,0.600,0.200,0.000,0.300,-0.026
8,0.000,0.000,0.400,0.600,0.200,0.200,0.300,-0.036
8,0.000,0.000,0.400,0.600,0.200,0.400,0.300,-0.029
8,0.000,0.000,0.400,0.600,0.200,0.600,0.300,-0.022
8,0.000,0.000,0.400,0.600,0.200,0.800,0.300,-0.014
8,0.000,0.000,0.400,0.600,0.200,1.000,0.300,-0.007
8,0.000,0.000,0.400,0.600,0.400,0.000,0.300,-0.024
8,0.000,0.000,0.400,0.600,0.400,0.200,0.300,-0.037
8,0.000,0.000,0.400,0.600,0.400,0.400,0.300,-0.031
8,0.000,0.000,0.400,0.600,0.400,0.600,0.300,-0.024
8,0.000,0.000,0.400,0.600,0.400,0.800,0.300,-0.018
8,0.000,0.000,0.400,0.600,0.400,1.000,0.300,-0.012
8,0.000,0.000,0.400,0.600,0.600,0.000,0.300,-0.023
8,0.000,0.000,0.400,0.600,0.600,0.200,0.300,-0.037
8,0.000,0.000,0.400,0.600,0.600,0.400,0.300,-0.032
8,0.000,0.000,0.400,0.600,0.600,0.600,0.300,-0.026
8,0.000,0.000,0.400,0.600,0.600,0.800,0.300,-0.020
8,0.000,0.000,0.400,0.600,0.600,1.000,0.300,-0.015
8,0.000,0.000,0.400,0.600,0.800,0.000,0.300,-0.022
8,0.000,0.000,0.400,0.600,0.800,0.200,0.300,-0.037
8,0.000,0.000,0.400,0.600,0.800,0.400,0.300,-0.032
8,0.000,0.000,0.400,0.600,0.800,0.600,0.300,-0.027
8,0.000,0.000,0.400,0.600,0.800,0.800,0.300,-0.023
8,0.000,0.000,0.400,0.600,0.800,1.000,0.300,-0.018
8,0.000,0.000,0.400,0.600,1.000,0.000,0.300,-0.021
8,0.000,0.000,0.400,0.600,1.000,0.200,0.300,-0.037
8,0.000,0.000,0.400,0.600,1.000,0.400,0.300,-0.033
8,0.000,0.000,0.400,0.600,1.000,0.600,0.300,-0.029
8,0.000,0.000,0.400,0.600,1.000,0.800,0.300,-0.024
8,0.000,0.000,0.400,0.600,1.000,1.000,0.300,-0.020
8,0.000,0.000,0.400,0.800,0.000,0.000,0.300,-0.031
8,0.000,0.000,0.400,0.800,0.000,0.200,0.300,-0.039
8,0.000,0.000,0.400,0.800,0.000,0.400,0.300,-0.031
8,0.000,0.000,0.400,0.800,0.000,0.600,0.300,-0.024
8,0.000,0.000,0.400,0.800,0.000,0.800,0.300,-0.017
8,0.000,0.000,0.400,0.800,0.000,1.000,0.300,-0.010
8,0.000,0.000,0.400,0.800,0.200,0.000,0.300,-0.029
8,0.000,0.000,0.400,0.800,0.200,0.200,0.300,-0.039
8,0.000,0.000,0.400,0.800,0.200,0.400,0.300,-0.032
8,0.000,0.000,0.400,0.800,0.200,0.600,0.300,-0.026
8,0.000,0.000,0.400,0.800,0.200,0.800,0.300,-0.020
8,0.000,0.000,0.400,0.800,0.200,1.000,0.300,-0.014
8,0.000,0.000,0.400,0.800,0.400,0.000,0.300,-0.027
8,0.000,0.000,0.400,0.800,0.400,0.200,0.300,-0.039
8,0.000,0.000,0.400,0.800,0.400,0.400,0.300,-0.033
8,0.000,0.000,0.400,0.800,0.400,0.600,0.300,-0.028
8,0.000,0.000,0.400,0.800,0.400,0.800,0.300,-0.022
8,0.000,0.000,0.400,0.800,0.400,1.000,0.300,-0.017
8,0.000,0.000,0.400,0.800,0.600,0.000,0.300,-0.025
8,0.000,0.000,0.400,0.800,0.600,0.200,0.300,-0.039
8,0.000,0.000,0.400,0.800,0.600,0.400,0.300,-0.034
8,0.000,0.000,0.400,0.800,0.600,0.600,0.300,-0.029
8,0.000,0.000,0.400,0.800,0.600,0.800,0.300,-0.024
8,0.000,0.000,0.400,0.800,0.600,1.000,0.300,-0.019
8,0.000,0.000,0.400,0.800,0.800,0.000,0.300,-0.024
8,0.000,0.000,0.400,0.800,0.800,0.200,0.300,-0.039
8,0.000,0.000,0.400,0.800,0.800,0.400,0.300,-0.034
8,0.000,0.000,0.400,0.800,0.800,0.600,0.300,-0.030
8,0.000,0.000,0.400,0.800,0.800,0.800,0.300,-0.026
8,0.000,0.000,0.400,0.800,0.800,1.000,0.300,-0.021
8,0.000,0.000,0.400,0.800,1.000,0.000,0.300,-0.023
8,0.000,0.000,0.400,0.800,1.000,0.200,0.300,-0.038
8,0.000,0.000,0.400,0.800,1.000,0.400,0.300,-0.035
8,0.000,0.000,0.400,0.800,1.000,0.600,0.300,-0.031
8,0.000,0.000,0.400,0.800,1.000,0.800,0.300,-0.027
8,0.000,0.000,0.400,0.800,1.000,1.000,0.300,-0.023
8,0.000,0.000,0.400,1.000,0.000,0.000,0.300,-0.034
8,0.000,0.000,0.400,1.000,0.000,0.200,0.300,-0.040
8,0.000,0.000,0.400,1.000,0.000,0.400,0.300,-0.034
8,0.000,0.000,0.400,1.000,0.000,0.600,0.300,-0.028
8,0.000,0.000,0.400,1.000,0.000,0.800,0.300,-0.022
8,0.000,0.000,0.400,1.000,0.000,1.000,0.300,-0.016
8,0.000,0.000,0.400,1.000,0.200,0.000,0.300,-0.031
8,0.000,0.000,0.400,1.000,0.200,0.200,0.300,-0.040
8,0.000,0.000,0.400,1.000,0.200,0.400,0.300,-0.035
8,0.000,0.000,0.400,1.000,0.200,0.600,0.300,-0.029
8,0.000,0.000,0.400,1.000,0.200,0.800,0.300,-0.024
8,0.000,0.000,0.400,1.000,0.200,1.000,0.300,-0.019
8,0.000,0.000,0.400,1.000,0.400,0.000,0.300,-0.029
8,0.000,0.000,0.400,1.000,0.400,0.200,0.300,-0.040
8,0.000,0.000,0.400,1.000,0.400,0.400,0.300,-0.035
8,0.000,0.000,0.400,1.000,0.400,0.600,0.300,-0.030
8,0.000,0.000,0.400,1.000,0.400,0.800,0.300,-0.026
8,0.000,0.000,0.400,1.000,0.400,1.000,0.300,-0.021
8,0.000,0.000,0.400,1.000,0.600,0.000,0.300,-0.027
8,0.000,0.000,0.400,1.000,0.600,0.200,0.300,-0.040
8,0.000,0.000,0.400,1.000,0.600,0.400,0.300,-0.036
8,0.000,0.000,0.400,1.000,0.600,0.600,0.300,-0.031
8,0.000,0.000,0.400,1.000,0.600,0.800,0.300,-0.027
8,0.000,0.000,0.400,1.000,0.600,1.000,0.300,-0.022
8,0.000,0.000,0.400,1.000,0.800,0.000,0.300,-0.026
8,0.000,0.000,0.400,1.000,0.800,0.200,0.300,-0.040
8,0.000,0.000,0.400,1.000,0.800,0.400,0.300,-0.036
8,0.000,0.000,0.400,1.000,0.800,0.600,0.300,-0.032
8,0.000,0.000,0.400,1.000,0.800,0.800,0.300,-0.028
8,0.000,0.000,0.400,1.000,0.800,1.000,0.300,-0.024
8,0.000,0.000,0.400,1.000,1.000,0.000,0.300,-0.025
8,0.000,0.000,0.400,1.000,1.000,0.200,0.300,-0.039
8,0.000,0.000,0.400,1.000,1.000,0.400,0.300,-0.036
8,0.000,0.000,0.400,1.000,1.000,0.600,0.300,-0.033
8,0.000,0.000,0.400,1.000,1.000,0.800,0.300,-0.029
8,0.000,0.000,0.400,1.000,1.000,1.000,0.300,-0.025
8,0.000,0.000,0.600,0.000,0.000,0.000,0.300,0.000
8,0.000,0.000,0.600,0.000,0.000,0.200,0.300,-0.019
8,0.000,0.000,0.600,0.000,0.000,0.400,0.300,-0.003
8,0.000,0.000,0.600,0.000,0.000,0.600,0.300,0.009
8,0.000,0.000,0.600,0.000,0.000,0.800,0.300,0.016
8,0.000,0.000,0.600,0.000,0.000,1.000,0.300,0.021
8,0.000,0.000,0.600,0.000,0.200,0.000,0.300,-0.003
8,0.000,0.000,0.600,0.000,0.200,0.200,0.300,-0.024
8,0.000,0.000,0.600,0.000,0.200,0.400,0.300,-0.012
8,0.000,0.000,0.600,0.000,0.200,0.600,0.300,-0.001
8,0.000,0.000,0.600,0.000,0.200,0.800,0.300,0.008
8,0.000,0.000,0.600,0.000,0.200,1.000,0.300,0.014
8,0.000,0.000,0.600,0.000,0.400,0.000,0.300,-0.005
8,0.000,0.000,0.600,0.000,0.400,0.200,0.300,-0.027
8,0.000,0.000,0.600,0.000,0.400,0.400,0.300,-0.018
8,0.000,0.000,0.600,0.000,0.400,0.600,0.300,-0.009
8,0.000,0.000,0.600,0.000,0.400,0.800,0.300,0.001
8,0.000,0.000,0.600,0.000,0.400,1.000,0.300,0.007
8,0.000,0.000,0.600,0.000,0.600,0.000,0.300,-0.006
8,0.000,0.000,0.600,0.000,0.600,0.200,0.300,-0.029
8,0.000,0.000,0.600,0.000,0.600,0.400,0.300,-0.021
8,0.000,0.000,0.600,0.000,0.600,0.600,0.300,-0.014
8,0.000,0.000,0.600,0.000,0.600,0.800,0.300,-0.006
8,0.000,0.000,0.600,0.000,0.600,1.000,0.300,0.001
8,0.000,0.000,0.600,0.000,0.800,0.000,0.300,-0.007
8,0.000,0.000,0.600,0.000,0.800,0.200,0.300,-0.030
8,0.000,0.000,0.600,0.000,0.800,0.400,0.300,-0.024
8,0.000,0.000,0.600,0.000,0.800,0.600,0.300,-0.017
8,0.000,0.000,0.600,0.000,0.800,0.800,0.300,-0.011
8,0.000,0.000,0.600,0.000,0.800,1.000,0.300,-0.004
8,0.000,0.000,0.600,0.000,1.000,0.000,0.300,-0.008
8,0.000,0.000,0.600,0.000,1.000,0.200,0.300,-0.029
8,0.000,0.000,0.600,0.000,1.000,0.400,0.300,-0.026
8,0.000,0.000,0.600,0.000,1.000,0.600,0.300,-0.020
8,0.000,0.000,0.600,0.000,1.000,0.800,0.300,-0.014
8,0.000,0.000,0.600,0.000,1.000,1.000,0.300,-0.009
8,0.000,0.000,0.600,0.200,0.000,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.000,0.200,0.300,-0.027
8,0.000,0.000,0.600,0.200,0.000,0.400,0.300,-0.016
8,0.000,0.000,0.600,0.200,0.000,0.600,0.300,-0.005
8,0.000,0.000,0.600,0.200,0.000,0.800,0.300,0.005
8,0.000,0.000,0.600,0.200,0.000,1.000,0.300,0.012
8,0.000,0.000,0.600,0.200,0.200,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.200,0.200,0.300,-0.030
8,0.000,0.000,0.600,0.200,0.200,0.400,0.300,-0.021
8,0.000,0.000,0.600,0.200,0.200,0.600,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.200,0.800,0.300,-0.002
8,0.000,0.000,0.600,0.200,0.200,1.000,0.300,0.005
8,0.000,0.000,0.600,0.200,0.400,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.400,0.200,0.300,-0.031
8,0.000,0.000,0.600,0.200,0.400,0.400,0.300,-0.024
8,0.000,0.000,0.600,0.200,0.400,0.600,0.300,-0.016
8,0.000,0.000,0.600,0.200,0.400,0.800,0.300,-0.009
8,0.000,0.000,0.600,0.200,0.400,1.000,0.300,-0.001
8,0.000,0.000,0.600,0.200,0.600,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.600,0.200,0.300,-0.032
8,0.000,0.000,0.600,0.200,0.600,0.400,0.300,-0.026
8,0.000,0.000,0.600,0.200,0.600,0.600,0.300,-0.019
8,0.000,0.000,0.600,0.200,0.600,0.800,0.300,-0.013
8,0.000,0.000,0.600,0.200,0.600,1.000,0.300,-0.007
8,0.000,0.000,0.600,0.200,0.800,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,0.800,0.200,0.300,-0.033
8,0.000,0.000,0.600,0.200,0.800,0.400,0.300,-0.028
8,0.000,0.000,0.600,0.200,0.800,0.600,0.300,-0.022
8,0.000,0.000,0.600,0.200,0.800,0.800,0.300,-0.016
8,0.000,0.000,0.600,0.200,0.800,1.000,0.300,-0.011
8,0.000,0.000,0.600,0.200,1.000,0.000,0.300,-0.012
8,0.000,0.000,0.600,0.200,1.000,0.200,0.300,-0.031
8,0.000,0.000,0.600,0.200,1.000,0.400,0.300,-0.029
8,0.000,0.000,0.600,0.200,1.000,0.600,0.300,-0.024
8,0.000,0.000,0.600,0.200,1.000,0.800,0.300,-0.019
8,0.000,0.000,0.600,0.200,1.000,1.000,0.300,-0.014
8,0.000,0.000,0.600,0.400,0.000,0.000,0.300,-0.019
8,0.000,0.000,0.600,0.400,0.000,0.200,0.300,-0.032
8,0.000,0.000,0.600,0.400,0.000,0.400,0.300,-0.023
8,0.000,0.000,0.600,0.400,0.000,0.600,0.300,-0.015
8,0.000,0.000,0.600,0.400,0.000,0.800,0.300,-0.005
8,0.000,0.000,0.600,0.400,0.000,1.000,0.300,0.003
8,0.000,0.000,0.600,0.400,0.200,0.000,0.300,-0.018
8,0.000,0.000,0.600,0.400,0.200,0.200,0.300,-0.033
8,0.000,0.000,0.600,0.400,0.200,0.400,0.300,-0.026
8,0.000,0.000,0.600,0.400,0.200,0.600,0.300,-0.019
8,0.000,0.000,0.600,0.400,0.200,0.800,0.300,-0.011
8,0.000,0.000,0.600,0.400,0.200,1.000,0.300,-0.003
8,0.000,0.000,0.600,0.400,0.400,0.000,0.300,-0.017
8,0.000,0.000,0.600,0.400,0.400,0.200,0.300,-0.034
8,0.000,0.000,0.600,0.400,0.400,0.400,0.300,-0.028
8,0.000,0.000,0.600,0.400,0.400,0.600,0.300,-0.021
8,0.000,0.000,0.600,0.400,0.400,0.800,0.300,-0.015
8,0.000,0.000,0.600,0.400,0.400,1.000,0.300,-0.009
8,0.000,0.000,0.600,0.400,0.600,0.000,0.300,-0.017
8,0.000,0.000,0.600,0.400,0.600,0.200,0.300,-0.035
8,0.000,0.000,0.600,0.400,0.600,0.400,0.300,-0.029
8,0.000,0.000,0.600,0.400,0.600,0.600,0.300,-0.024
8,0.000,0.000,0.600,0.400,0.600,0.800,0.300,-0.018
8,0.000,0.000,0.600,0.400,0.600,1.000,0.300,-0.012
8,0.000,0.000,0.600,0.400,0.800,0.000,0.300,-0.016
8,0.000,0.000,0.600,0.400,0.800,0.200,0.300,-0.035
8,0.000,0.000,0.600,0.400,0.800,0.400,0.300,-0.030
8,0.000,0.000,0.600,0.400,0.800,0.600,0.300,-0.025
8,0.000,0.000,0.600,0.400,0.800,0.800,0.300,-0.020
8,0.000,0.000,0.600,0.400,0.800,1.000,0.300,-0.015
8,0.000,0.000,0.600,0.400,1.000,0.000,0.300,-0.016
8,0.000,0.000,0.600,0.400,1.000,0.200,0.300,-0.033
8,0.000,0.000,0.600,0.400,1.000,0.400,0.300,-0.031
8,0.000,0.000,0.600,0.400,1.000,0.600,0.300,-0.027
8,0.000,0.000,0.600,0.400,1.000,0.800,0.300,-0.022
8,0.000,0.000,0.600,0.400,1.000,1.000,0.300,-0.018
8,0.000,0.000,0.600,0.600,0.000,0.000,0.300,-0.023
8,0.000,0.000,0.600,0.600,0.000,0.200,0.300,-0.036
8,0.000,0.000,0.600,0.600,0.000,0.400,0.300,-0.028
8,0.000,0.000,0.600,0.600,0.000,0.600,0.300,-0.021
8,0.000,0.000,0.600,0.600,0.000,0.800,0.300,-0.014
8,0.000,0.000,0.600,0.600,0.000,1.000,0.300,-0.006
8,0.000,0.000,0.600,0.600,0.200,0.000,0.300,-0.022
8,0.000,0.000,0.600,0.600,0.200,0.200,0.300,-0.036
8,0.000,0.000,0.600,0.600,0.200,0.400,0.300,-0.030
8,0.000,0.000,0.600,0.600,0.200,0.600,0.300,-0.023
8,0.000,0.000,0.600,0.600,0.200,0.800,0.300,-0.017
8,0.000,0.000,0.600,0.600,0.200,1.000,0.300,-0.011
8,0.000,0.000,0.600,0.600,0.400,0.000,0.300,-0.021
8,0.000,0.000,0.600,0.600,0.400,0.200,0.300,-0.036
8,0.000,0.000,0.600,0.600,0.400,0.400,0.300,-0.031
8,0.000,0.000,0.600,0.600,0.400,0.600,0.300,-0.025
8,0.000,0.000,0.600,0.600,0.400,0.800,0.300,-0.020
8,0.000,0.000,0.600,0.600,0.400,1.000,0.300,-0.014
8,0.000,0.000,0.600,0.600,0.600,0.000,0.300,-0.020
8,0.000,0.000,0.600,0.600,0.600,0.200,0.300,-0.037
8,0.000,0.000,0.600,0.600,0.600,0.400,0.300,-0.032
8,0.000,0.000,0.600,0.600,0.600,0.600,0.300,-0.027
8,0.000,0.000,0.600,0.600,0.600,0.800,0.300,-0.022
8,0.000,0.000,0.600,0.600,0.600,1.000,0.300,-0.017
8,0.000,0.000,0.600,0.600,0.800,0.000,0.300,-0.019
8,0.000,0.000,0.600,0.600,0.800,0.200,0.300,-0.036
8,0.000,0.000,0.600,0.600,0.800,0.400,0.300,-0.033
8,0.000,0.000,0.600,0.600,0.800,0.600,0.300,-0.028
8,0.000,0.000,0.600,0.600,0.800,0.800,0.300,-0.024
8,0.000,0.000,0.600,0.600,0.800,1.000,0.300,-0.019
8,0.000,0.000,0.600,0.600,1.000,0.000,0.300,-0.019
8,0.000,0.000,0.600,0.600,1.000,0.200,0.300,-0.034
8,0.000,0.000,0.600,0.600,1.000,0.400,0.300,-0.033
8,0.000,0.000,0.600,0.600,1.000,0.600,0.300,-0.029
8,0.000,0.000,0.600,0.600,1.000,0.800,0.300,-0.025
8,0.000,0.000,0.600,0.600,1.000,1.000,0.300,-0.021
8,0.000,0.000,0.600,0.800,0.000,0.000,0.300,-0.027
8,0.000,0.000,0.600,0.800,0.000,0.200,0.300,-0.038
8,0.000,0.000,0.600,0.800,0.000,0.400,0.300,-0.032
8,0.000,0.000,0.600,0.800,0.000,0.600,0.300,-0.025
8,0.000,0.000,0.600,0.800,0.000,0.800,0.300,-0.019
